,author,content,sentiment
26898,richardepryor,"@treasaint salad stuff, some chillis, whatever my horti mate gives me really, think it will be fun to do",happiness
27635,reese,"@sunnyjamiel sunny, I'm a workin' on it. It's very much in progress! Will let you know when it's up",neutral
3036,mutedriposte,@jolynnchew so early??,surprise
5604,sakizzie_1102,"So now, I have conjunctivitis in my left eye. Is this a sign of something? What did I do wrong to deserve this?LOL I'm dying people!",sadness
36111,poptrash,"Out and about in Deal, Kent. More sunshine required me thinks  http://yfrog.com/0egwanj",love
39294,finalomega,Just read a book called &quot;Gamer Girl&quot; and it wasn't too bad.,surprise
22411,RobertGreer,@godskiwi lol  I'm sure it would be the most kick azz version we've ever heard!,empty
34483,CameronSmith93,Going downstairs for more coffee and socialising  Wow... Only 4:16?.. Gives me time for French later,surprise
33729,MercyStreetTeam,@iamjonathancook,empty
36156,xEllieex,Hopes to find more mates that are on this thing,fun
21186,karikaz,@sickophantikmnd now i'm done! good nite,relief
10863,PrettiiRickii,... Still feelin like blah... 3 more hours,sadness
37652,QueerLife,Do you ever get the idea that your are completely talking to yourself on Twitter?,worry
13988,miss_hudgens,@Jonasbrothers you guys didn't say hi or answer my questions yesterday  but nice songs.,neutral
4209,OhMyDamnKelsey,It's hella itchy!  http://twitpic.com/66m7f,neutral
4475,GallifreyReject,@vickybonnett lmao! a good push up bra always makes the abs look smaller. in order to have Robbikin-esque abs.. 6 days a week working out,fun
29558,cocolee117,@cocotian of course i do.. such an adorable face.,happiness
33894,ErinMalcolm,Such a fun night. I needed the break. PS- I love you man is effing hilarious! Good night twitter world. Sweet dreams,happiness
37910,caitlinlavergne,Just got finished cleaning and putting out my mom's presents.  Happy mother's day. I'm going to sleeeeep.,neutral
30153,DirtyRose17,@ShannonElizab dont ya know? people love the human society,neutral
26603,inikco,@bevjones1983 I'd Love to work with you! http://myspace.com/inikco  Tell ur friends to follow me!,love
37082,Filine,"@Ali_Sweeney - Happy Mother's Day, Ali  I hope you have a great day today! Hugs and kisses from The Netherlands xoxox",love
12024,omglikelauren57,i hate parents,neutral
28457,kyntha,Working up to my vacation to Thailand. Getting more excited every day,neutral
99,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,hate
36245,indiareyna,@Lil_Shawn when do you go back home? Want to see ya B4 u leave Homie,neutral
23034,JLaw222,@caluvminwoo  Way too many people indeed... I only recognize the Chinese guy... LOL,worry
17971,Rachelx_,@mitchelmusso!  i called and called. I think you should answer more. haha,neutral
37590,mariairina,I love being in charge,happiness
37032,Bith93,good mornig to everone... it's a great morning ...in the evening i play in the theatre in lord of the flies. it's so much fun!,fun
28685,__serenity,@SarahRoseteER happy early mothers day!!!!,love
33259,MissReichow,@andycane wow.... really?!? is this necessary??,worry
36319,amleht21,Twas a good show. I even liked Ciara's last song.   Time for me to go to bed. G'night!,happiness
13131,Tanya_xO,STOMACH ACHE!!! Ahhhhhh,worry
8220,ByrnesBabe_09,Burnt Agenn  Nice Day Tho  xxx,happiness
30959,ItsJoeLo,Im eating a salad  and rember to comment my new myspace pictures plz?,enthusiasm
18906,lizdanzer,Just started feeling bad again  ugh. I hate it when I don't feel good!!,boredom
20883,DBSLKitties,Blue Oyster Cult - I Love The Night *that's when all my friends are around*  ? http://blip.fm/~5jd4b,love
12650,eymediaprodz,enjoying a fresh mango bubble-tea slush   but still at work,hate
12250,hey_molly,No show tonight  No plans. Ughhhh.,sadness
19652,charleegerrior,wants to go home!,sadness
12064,SandraMartini,@TerriZSoloCEO and here I didn't think you had a cruel bone in your body ... torturing me with sunshine...hmph,worry
9802,schmoopsiepoo,I am so jelz. I want a house. &gt;,sadness
31034,megrey80,Star trek was good times.,happiness
6867,ciaobambini,"Walking the puppies downtown. Also, mystery of missing cat solved: he hid himself in the basement for nearly two days.",relief
20355,Mel71,and we're back in buisiness,neutral
3772,jemariie,@CheskieBear to go in their next live chat.,neutral
30863,landrsn,Just snappy's delivered some tea and ice cream. I love my sister.,love
5658,kaitli,"@AskAroundOttawa it's annoying bc my hair products don't have perfume, but smell like the ingredients in them",surprise
12591,yamaroooo,aha exams starts tomorrow i know i've been a tweet freak but won't be able to do anything till the end of it  see u all by then,neutral
3787,chochocamacho,I miss my wacom. Especially the mouse. Laptop touch pad is horrible,sadness
25082,SarahIzHere,Nvd i was sitting on it,relief
4688,MaryCertad,last day working for Tend,sadness
15610,Daone2nv619,Oh man now it's raining...seatbelt now buckled...thanks bates for wishing I have a blow out and flip and burn up,worry
5155,gracesmith,"Hey everyone  Bit of a hectic day for me, just back from the vets, @pradasmith has a bad infection &amp; is staying over the wkend",neutral
21171,farzanarasool,@qudsiya was jus so excited t c ur name,fun
25271,destiniashlynn,It's Raining!,happiness
19898,Aprilraquel,Watchin Grease 2 and waiting for 9 to hurry up and come so I can talk to my girl. Ugh..... it seems so far away...,worry
